Search query: anxiety
Year,Count
2022,12188
2021,30000
2020,24246
2019,18666
2018,17400
2017,16620
2016,15706
2015,15132
2014,14281
2013,13264
2012,11970
2011,10753
2010,9525
2009,8638
2008,8192
2007,7313
2006,6681
2005,5855
2004,4971
2003,4583
2002,4099
2001,4107
2000,3670
1999,3409
1998,3346
1997,3126
1996,2952
1995,2460
1994,2519
1993,2457
1992,2299
1991,2273
1990,2463
1989,2074
1988,1910
1987,1704
1986,1770
1985,1674
1984,1609
1983,1623
1982,1460
1981,1305
1980,1232
1979,1260
1978,1157
1977,1071
1976,1167
1975,1100
1974,1080
1973,949
1972,921
1971,856
1970,755
1969,748
1968,705
1967,572
1966,383
1965,436
1964,546
1963,380
1962,215
1961,183
1960,168
1959,188
1958,178
1957,207
1956,190
1955,162
1954,163
1953,182
1952,146
1951,121
1950,88
1949,128
1948,93
1947,93
1946,78
1945,26
1944,2
1943,1
1940,2
1938,4
1937,3
1930,1
1928,1
1927,1
1920,1
1914,1
1907,1
1877,1
1854,1
1849,1
1842,1
