Search query: anxiety[Title]
Year,Count
2022,2688
2021,6577
2020,5246
2019,4098
2018,3790
2017,3630
2016,3495
2015,3256
2014,3092
2013,2777
2012,2589
2011,2318
2010,1956
2009,1863
2008,1691
2007,1509
2006,1303
2005,1140
2004,965
2003,909
2002,762
2001,777
2000,675
1999,604
1998,587
1997,519
1996,478
1995,410
1994,434
1993,439
1992,378
1991,360
1990,431
1989,393
1988,393
1987,344
1986,354
1985,314
1984,288
1983,261
1982,251
1981,232
1980,191
1979,213
1978,226
1977,193
1976,213
1975,166
1974,175
1973,203
1972,186
1971,177
1970,152
1969,176
1968,159
1967,122
1966,128
1965,152
1964,149
1963,117
1962,119
1961,112
1960,99
1959,106
1958,98
1957,123
1956,116
1955,95
1954,72
1953,93
1952,73
1951,54
1950,46
1949,56
1948,32
1947,30
1946,30
1945,10
1944,1
1943,1
1940,2
1938,4
1937,3
1920,1
1914,1
1907,1
1877,1
1854,1
1849,1
1842,1
