Search query: cancer
Year,Count
2023,3
2022,106965
2021,281651
2020,263759
2019,232526
2018,217439
2017,208650
2016,202423
2015,198953
2014,187865
2013,171655
2012,161714
2011,149269
2010,135863
2009,123600
2008,117254
2007,110052
2006,102330
2005,96472
2004,88522
2003,82756
2002,77447
2001,73455
2000,71537
1999,67081
1998,64939
1997,63015
1996,61267
1995,58758
1994,58292
1993,55259
1992,53535
1991,51670
1990,53446
1989,51983
1988,48059
1987,45149
1986,43115
1985,41955
1984,40358
1983,37546
1982,35059
1981,33411
1980,32556
1979,31423
1978,29630
1977,27730
1976,26110
1975,25507
1974,24242
1973,23316
1972,22702
1971,22252
1970,21140
1969,20742
1968,20517
1967,18883
1966,16885
1965,17346
1964,19411
1963,16258
1962,12311
1961,11426
1960,10404
1959,10421
1958,9946
1957,10373
1956,10124
1955,10349
1954,9685
1953,9619
1952,9438
1951,9029
1950,6982
1949,5094
1948,5454
1947,4617
1946,3366
1945,953
1944,40
1943,34
1942,34
1941,57
1940,45
1939,61
1938,71
1937,57
1936,67
1935,71
1934,63
1933,43
1932,54
1931,53
1930,58
1929,63
1928,56
1927,48
1926,56
1925,54
1924,41
1923,42
1922,38
1921,31
1920,28
1919,21
1918,17
1917,16
1916,33
1915,39
1914,46
1913,37
1912,47
1911,55
1910,37
1909,68
1908,36
1907,22
1906,28
1905,41
1904,33
1903,51
1902,45
1901,24
1900,27
1899,22
1898,18
1897,14
1896,14
1895,13
1894,15
1893,16
1892,17
1891,12
1890,20
1889,19
1888,10
1887,10
1886,6
1885,4
1884,7
1883,6
1882,8
1881,5
1880,4
1879,5
1878,4
1877,7
1876,1
1875,5
1874,7
1873,6
1872,9
1871,3
1870,16
1869,4
1868,6
1867,8
1866,2
1865,1
1864,2
1862,5
1861,2
1860,3
1859,5
1858,5
1857,6
1856,3
1855,4
1854,1
1853,2
1852,8
1851,2
1849,2
1848,1
1847,3
1846,5
1844,3
1843,2
1842,1
1841,3
1840,3
1838,1
1837,1
1832,1
1831,7
1830,2
1829,3
1828,1
1826,4
1823,3
1822,1
1821,2
1820,2
1819,1
1818,3
1817,2
1816,1
1815,2
1814,1
1813,1
1812,2
1811,1
1810,2
1809,1
1808,1
1807,3
1806,1
1805,1
1804,2
1803,2
1802,4
1801,7
1800,1
1792,1
1789,1
1787,1
1784,1
1783,1
