Search query: cancer[Title]
Year,Count
2023,1
2022,36121
2021,92323
2020,85155
2019,73878
2018,68884
2017,64677
2016,61818
2015,60286
2014,55967
2013,51086
2012,47433
2011,41924
2010,37328
2009,32849
2008,30586
2007,27961
2006,25274
2005,23369
2004,20327
2003,18617
2002,16906
2001,15358
2000,14881
1999,13535
1998,12303
1997,11669
1996,11019
1995,10147
1994,9988
1993,9043
1992,8704
1991,7841
1990,8241
1989,7959
1988,7269
1987,6529
1986,6270
1985,5840
1984,5521
1983,4940
1982,4523
1981,4293
1980,3995
1979,3783
1978,3403
1977,3182
1976,2815
1975,2627
1974,2375
1973,2040
1972,2293
1971,2345
1970,2292
1969,2256
1968,2233
1967,2172
1966,1886
1965,2287
1964,2515
1963,2173
1962,1842
1961,1737
1960,1619
1959,1593
1958,1584
1957,1736
1956,1827
1955,1781
1954,1619
1953,1648
1952,1725
1951,1592
1950,1325
1949,961
1948,1091
1947,866
1946,586
1945,195
1944,21
1943,28
1942,22
1941,38
1940,27
1939,42
1938,45
1937,43
1936,42
1935,51
1934,40
1933,32
1932,45
1931,51
1930,51
1929,50
1928,41
1927,43
1926,44
1925,43
1924,32
1923,38
1922,33
1921,25
1920,25
1919,12
1918,13
1917,13
1916,24
1915,33
1914,32
1913,32
1912,37
1911,46
1910,30
1909,66
1908,29
1907,20
1906,26
1905,36
1904,33
1903,51
1902,45
1901,19
1900,26
1899,19
1898,17
1897,12
1896,10
1895,12
1894,15
1893,14
1892,14
1891,9
1890,17
1889,16
1888,10
1887,9
1886,5
1885,4
1884,6
1883,5
1882,6
1881,4
1880,4
1879,3
1878,2
1877,5
1876,1
1875,3
1874,6
1873,5
1872,7
1871,2
1870,16
1869,4
1868,6
1867,8
1866,1
1865,1
1864,1
1862,4
1861,2
1860,3
1859,3
1858,2
1857,6
1856,2
1855,4
1853,2
1852,4
1851,1
1849,2
1848,1
1847,3
1846,4
1844,3
1843,2
1842,1
1841,1
1840,3
1838,1
1832,1
1831,7
1830,1
1829,3
1828,1
1826,4
1823,3
1822,1
1819,1
1818,2
1817,2
1816,1
1815,1
1814,1
1811,1
1810,2
1808,1
1807,3
1806,1
1805,1
1804,2
1803,1
1802,3
1801,5
1800,1
1792,1
1789,1
1787,1
