Search query: depression
Year,Count
2022,16934
2021,42108
2020,36155
2019,30611
2018,28952
2017,27308
2016,26349
2015,25555
2014,24402
2013,23258
2012,21277
2011,19447
2010,18090
2009,16569
2008,15630
2007,14678
2006,13761
2005,11898
2004,11068
2003,9993
2002,9181
2001,8764
2000,8339
1999,7852
1998,7650
1997,7321
1996,7265
1995,6993
1994,7072
1993,6893
1992,7037
1991,6813
1990,6894
1989,6655
1988,6025
1987,6026
1986,5929
1985,5720
1984,5505
1983,5304
1982,4717
1981,4319
1980,4115
1979,4023
1978,3922
1977,3880
1976,4188
1975,5011
1974,3704
1973,2789
1972,2948
1971,3145
1970,3129
1969,3276
1968,2599
1967,1471
1966,853
1965,681
1964,903
1963,683
1962,432
1961,441
1960,392
1959,358
1958,215
1957,200
1956,181
1955,188
1954,156
1953,136
1952,151
1951,95
1950,93
1949,61
1948,66
1947,68
1946,70
1945,25
1944,4
1943,6
1942,3
1941,10
1940,6
1939,2
1938,6
1937,3
1936,7
1935,5
1934,6
1933,6
1932,8
1931,5
1930,5
1929,5
1928,5
1927,3
1926,5
1925,2
1924,6
1923,8
1922,3
1921,8
1920,2
1919,3
1918,4
1917,3
1916,2
1915,1
1914,1
1913,3
1912,1
1910,2
1909,4
1907,4
1906,1
1905,1
1904,2
1903,2
1902,1
1900,3
1899,1
1897,3
1896,1
1895,1
1894,3
1893,2
1892,1
1891,1
1889,1
1888,1
1887,2
1886,4
1885,1
1881,1
1880,1
1879,1
1877,3
1876,2
1875,1
1873,1
1872,1
1871,1
1869,1
1867,1
1864,1
1862,1
1841,1
1828,2
1825,2
1823,1
1818,1
1805,1
1800,1
1797,1
1789,1
1788,1
