Search query: depression[Title]
Year,Count
2022,3763
2021,9346
2020,8085
2019,7061
2018,6443
2017,6137
2016,5918
2015,5686
2014,5422
2013,5286
2012,4813
2011,4477
2010,4154
2009,3836
2008,3438
2007,3208
2006,3046
2005,2534
2004,2305
2003,2150
2002,1931
2001,1773
2000,1734
1999,1566
1998,1362
1997,1317
1996,1271
1995,1183
1994,1223
1993,1137
1992,1075
1991,1032
1990,1014
1989,1024
1988,1052
1987,870
1986,865
1985,810
1984,786
1983,731
1982,678
1981,687
1980,515
1979,496
1978,447
1977,409
1976,404
1975,354
1974,340
1973,329
1972,291
1971,280
1970,257
1969,247
1968,232
1967,229
1966,198
1965,192
1964,176
1963,154
1962,154
1961,129
1960,124
1959,111
1958,77
1957,72
1956,83
1955,74
1954,55
1953,47
1952,52
1951,33
1950,37
1949,21
1948,31
1947,33
1946,32
1945,13
1944,2
1943,2
1942,2
1940,1
1938,3
1937,1
1934,4
1933,4
1932,3
1931,1
1928,1
1927,1
1924,2
1920,1
1918,3
1916,1
1914,1
1913,1
1910,2
1909,1
1907,1
1906,1
1905,1
1903,1
1900,1
1892,1
1891,1
1888,1
1887,2
1886,1
1869,1
1864,1
1862,1
1841,1
1828,1
1825,2
1823,1
1800,1
1797,1
1789,1
1788,1
