Search query: schizophrenia
Year,Count
2022,2934
2021,7254
2020,7063
2019,6654
2018,6817
2017,6618
2016,6686
2015,6782
2014,6549
2013,6582
2012,6158
2011,5699
2010,5428
2009,4908
2008,4949
2007,4746
2006,4430
2005,3789
2004,3534
2003,3104
2002,2708
2001,2596
2000,2549
1999,2493
1998,2201
1997,2143
1996,2075
1995,1902
1994,1873
1993,1670
1992,1738
1991,1519
1990,1546
1989,1439
1988,1282
1987,1276
1986,1259
1985,1260
1984,1212
1983,1151
1982,1141
1981,1126
1980,1140
1979,1134
1978,1124
1977,1077
1976,1087
1975,1136
1974,1127
1973,1009
1972,983
1971,939
1970,1025
1969,1008
1968,990
1967,908
1966,857
1965,761
1964,972
1963,666
1962,505
1961,441
1960,429
1959,428
1958,497
1957,426
1956,349
1955,330
1954,315
1953,285
1952,268
1951,231
1950,172
1949,117
1948,99
1947,75
1946,69
1945,22
1944,1
1942,1
1940,3
1939,8
1938,10
1937,2
1936,2
1935,1
1934,2
1932,1
1931,1
1929,2
1921,1
