Search query: schizophrenia[Title]
Year,Count
2022,1392
2021,3401
2020,3285
2019,3090
2018,3260
2017,3119
2016,3176
2015,3329
2014,3300
2013,3346
2012,3191
2011,2972
2010,2813
2009,2458
2008,2452
2007,2382
2006,2252
2005,1934
2004,1748
2003,1542
2002,1342
2001,1273
2000,1214
1999,1180
1998,1005
1997,964
1996,906
1995,801
1994,790
1993,660
1992,708
1991,576
1990,557
1989,549
1988,472
1987,475
1986,424
1985,390
1984,363
1983,372
1982,365
1981,366
1980,376
1979,344
1978,376
1977,333
1976,326
1975,345
1974,279
1973,260
1972,262
1971,248
1970,248
1969,240
1968,235
1967,281
1966,278
1965,244
1964,265
1963,200
1962,199
1961,171
1960,173
1959,171
1958,248
1957,201
1956,169
1955,146
1954,140
1953,130
1952,119
1951,106
1950,88
1949,68
1948,54
1947,46
1946,30
1945,10
1944,1
1942,1
1940,3
1939,8
1938,10
1937,2
1936,2
1935,1
1934,2
1932,1
1931,1
1929,2
1921,1
